triple,truth
sportsteam hawks teamplaysincity city atlanta,1
stadiumoreventvenue hondacenter stadiumlocatedincity city anaheim,1
sportsteam ducks teamplaysincity city anaheim,1
sportsteam n1985chicagobears teamplaysincity city chicago,1
stadiumoreventvenue philipsarena stadiumlocatedincity city atlanta,1
stadiumoreventvenue unitedcenter stadiumlocatedincity city chicago,1
sportsteam bostonceltics teamplaysincity city boston,1
sportsteam bills teamplaysincity city buffalo,1
stadiumoreventvenue ralphwilsonstadium stadiumlocatedincity city buffalo,1
sportsteam bostonbruins teamplaysincity city boston,1
stadiumoreventvenue soldierfield stadiumlocatedincity city chicago,1
sportsteam chicagobulls teamplaysincity city chicago,1
stadiumoreventvenue tdbanknorthgarden stadiumlocatedincity city boston,1
sportsteam blackhawks teamplaysincity city chicago,1
sportsteam losangelesclippers teamplaysincity city losangeles,1
sportsteam houstonastros teamplaysincity city houston,1
stadiumoreventvenue greatamericanballpark stadiumlocatedincity city cincinnati,1
sportsteam redwings teamplaysincity city detroit,1
sportsteam cavaliers teamplaysincity city cleveland,1
stadiumoreventvenue clevelandbrownsstadium stadiumlocatedincity city cleveland,0
stadiumoreventvenue paulbrownstadium stadiumlocatedincity city cincinnati,1
stadiumoreventvenue staplescenter stadiumlocatedincity city losangeles,1
sportsteam marlins teamplaysincity city miami,1
sportsteam clippers teamplaysincity city losangeles,1
stadiumoreventvenue minutemaidpark stadiumlocatedincity city houston,1
sportsteam bengals teamplaysincity city cincinnati,1
sportsteam reds teamplaysincity city cincinnati,1
sportsteam mavericks teamplaysincity city dallas,1
stadiumoreventvenue fedexforum stadiumlocatedincity city memphis,1
sportsteam memphisgrizzlies teamplaysincity city memphis,1
stadiumoreventvenue wrigleyfield stadiumlocatedincity city chicago,1
stadiumoreventvenue quickenloansarena stadiumlocatedincity city cleveland,1
stadiumoreventvenue joelouisarena stadiumlocatedincity city detroit,1
sportsteam chicagocubs teamplaysincity city chicago,1
sportsteam clevelandbrowns teamplaysincity city cleveland,1
stadiumoreventvenue americanairlinescenter stadiumlocatedincity city dallas,1
stadiumoreventvenue mellonarena stadiumlocatedincity city pittsburgh,1
sportsteam bostonceltics organizationhiredperson coach docrivers,1
stadiumoreventvenue verizoncenter stadiumlocatedincity city washingtondc,1
sportsteam capitals teamplaysincity city washingtondc,1
stadiumoreventvenue petcopark stadiumlocatedincity city sandiego,1
stadiumoreventvenue candlestickpark stadiumlocatedincity city sanfrancisco,1
stadiumoreventvenue heinzfield stadiumlocatedincity city pittsburgh,1
sportsteam steelers teamplaysincity city pittsburgh,1
athlete carsonpalmer athletecoach coach marvinlewis,1
stadiumoreventvenue citizenbankpark stadiumlocatedincity city philadelphia,1
stadiumoreventvenue mcafeecoliseum stadiumlocatedincity city oakland,1
athlete cleonjones athleteplayssport sport baseball,1
sportsteam suns teamplaysincity city phoenix,1
sportsteam buccaneers teamplaysincity city tampabay,1
stadiumoreventvenue stpetetimesforum stadiumlocatedincity city tampabay,1
athlete brianurlacher athletecoach coach loviesmith,0
athlete peytonmanning athletecoach coach tonydungy,1
athlete pudgerodriguez athleteplayssport sport baseball,1
sportsteam philadelphiaphillies teamplaysincity city philadelphia,1
sportsteam pittsburghpenguins teamplaysincity city pittsburgh,1
stadiumoreventvenue usairwayscenter stadiumlocatedincity city phoenix,1
sportsteam sanfranciscogiants teamplaysincity city sanfrancisco,1
sportsteam sandiegochargers teamplaysincity city sandiego,1
sportsteam oaklandraiders teamplaysincity city oakland,1
athlete paulpierce athletecoach coach docrivers,1
athlete baldelli athleteplayssport sport baseball,1
stadiumoreventvenue dolphinstadium stadiumlocatedincity city miami,1
athlete lennydykstra athleteplayssport sport baseball,1
athlete stevegarvey athleteplaysinleague sportsleague mlb,1
athlete dustinpedroia athleteplaysforteam sportsteam redsox,1
sportsteam newenglandpatriots teamhomestadium stadiumoreventvenue gillettestadium,1
personmexico djmbenga coachesteam sportsteam akron,0
