triple,stv,truth
sportsteam hawks teamplaysincity city atlanta,0.4255912602,1
stadiumoreventvenue hondacenter stadiumlocatedincity city anaheim,0.4276425838,1
sportsteam ducks teamplaysincity city anaheim,0.4762486517,1
sportsteam n1985chicagobears teamplaysincity city chicago,0.4106097221,1
stadiumoreventvenue philipsarena stadiumlocatedincity city atlanta,0.4190083146,1
stadiumoreventvenue unitedcenter stadiumlocatedincity city chicago,0.4211134315,1
sportsteam bostonceltics teamplaysincity city boston,0.4276425838,1
sportsteam bills teamplaysincity city buffalo,0.4448287487,1
stadiumoreventvenue ralphwilsonstadium stadiumlocatedincity city buffalo,0.4818992913,1
sportsteam bostonbruins teamplaysincity city boston,0.7281054258,1
stadiumoreventvenue soldierfield stadiumlocatedincity city chicago,0.4276424944,1
sportsteam chicagobulls teamplaysincity city chicago,0.4070726931,1
stadiumoreventvenue tdbanknorthgarden stadiumlocatedincity city boston,0.4276425838,1
sportsteam blackhawks teamplaysincity city chicago,0.427806139,1
sportsteam losangelesclippers teamplaysincity city losangeles,0.4475468695,1
sportsteam houstonastros teamplaysincity city houston,0.4276425838,1
stadiumoreventvenue greatamericanballpark stadiumlocatedincity city cincinnati,0.4070726633,1
sportsteam redwings teamplaysincity city detroit,0.4475468397,1
sportsteam cavaliers teamplaysincity city cleveland,0.4276425838,1
stadiumoreventvenue clevelandbrownsstadium stadiumlocatedincity city cleveland,0.4319685698,0
stadiumoreventvenue paulbrownstadium stadiumlocatedincity city cincinnati,0.4545196891,1
stadiumoreventvenue staplescenter stadiumlocatedincity city losangeles,0.426417917,1
sportsteam marlins teamplaysincity city miami,0.4420254827,1
sportsteam clippers teamplaysincity city losangeles,0.471540451,1
stadiumoreventvenue minutemaidpark stadiumlocatedincity city houston,0.4276425838,1
sportsteam bengals teamplaysincity city cincinnati,0.4276425838,1
sportsteam reds teamplaysincity city cincinnati,0.4584060609,1
sportsteam mavericks teamplaysincity city dallas,0.416775465,1
stadiumoreventvenue fedexforum stadiumlocatedincity city memphis,0.4276425838,1
sportsteam memphisgrizzlies teamplaysincity city memphis,0.934304893,1
stadiumoreventvenue wrigleyfield stadiumlocatedincity city chicago,0.3989317715,1
stadiumoreventvenue quickenloansarena stadiumlocatedincity city cleveland,0.4276426435,1
stadiumoreventvenue joelouisarena stadiumlocatedincity city detroit,0.4773312807,1
sportsteam chicagocubs teamplaysincity city chicago,0.4143873155,1
sportsteam clevelandbrowns teamplaysincity city cleveland,0.4276425838,1
stadiumoreventvenue americanairlinescenter stadiumlocatedincity city dallas,0.4258196354,1
stadiumoreventvenue mellonarena stadiumlocatedincity city pittsburgh,0.5013662577,1
sportsteam bostonceltics organizationhiredperson coach docrivers,0.4276425838,1
stadiumoreventvenue verizoncenter stadiumlocatedincity city washingtondc,0.4276425838,1
sportsteam capitals teamplaysincity city washingtondc,0.4203598201,1
stadiumoreventvenue petcopark stadiumlocatedincity city sandiego,0.4142830968,1
stadiumoreventvenue candlestickpark stadiumlocatedincity city sanfrancisco,0.4276425838,1
stadiumoreventvenue heinzfield stadiumlocatedincity city pittsburgh,0.5670258403,1
sportsteam steelers teamplaysincity city pittsburgh,0.5055041313,1
athlete carsonpalmer athletecoach coach marvinlewis,0.3927882016,1
stadiumoreventvenue citizenbankpark stadiumlocatedincity city philadelphia,0.4062177241,1
stadiumoreventvenue mcafeecoliseum stadiumlocatedincity city oakland,0.4379006922,1
athlete cleonjones athleteplayssport sport baseball,0.3860255778,1
sportsteam suns teamplaysincity city phoenix,0.418163985,1
sportsteam buccaneers teamplaysincity city tampabay,0.414283067,1
stadiumoreventvenue st+AF8AXwBf-petetimesforum stadiumlocatedincity city tampabay,0.4470738173,1
athlete brianurlacher athletecoach coach loviesmith,0.4976425838,0
athlete peytonmanning athletecoach coach tonydungy,0.4276426435,1
athlete pudgerodriguez athleteplayssport sport baseball,0.4402164221,1
sportsteam philadelphiaphillies teamplaysincity city philadelphia,0.3957529068,1
sportsteam pittsburghpenguins teamplaysincity city pittsburgh,0.4305918813,1
stadiumoreventvenue usairwayscenter stadiumlocatedincity city phoenix,0.5623805523,1
sportsteam sanfranciscogiants teamplaysincity city sanfrancisco,0.4475468695,1
sportsteam sandiegochargers teamplaysincity city sandiego,0.4154197276,1
sportsteam oaklandraiders teamplaysincity city oakland,0.4276425838,1
athlete paulpierce athletecoach coach docrivers,0.4254615903,1
athlete baldelli athleteplayssport sport baseball,0.5763933659,1
stadiumoreventvenue dolphinstadium stadiumlocatedincity city miami,0.4065217078,1
athlete lennydykstra athleteplayssport sport baseball,0.4091893435,1
athlete stevegarvey athleteplaysinleague sportsleague mlb,0.4276425838,1
athlete dustinpedroia athleteplaysforteam sportsteam redsox,0.4606230557,1
sportsteam newenglandpatriots teamhomestadium stadiumoreventvenue gillettestadium,0.368374157,1
