triple,stv,truth
Nigel Cole isMarriedTo Kate Isitt,0.9350595474,1
Véra Clouzot isMarriedTo Henri-Georges Clouzot,0.4773990512,1
Norodom Sihanouk produced The Last Days of Colonel Savath,0.3942225575,1
Farouk of Egypt isMarriedTo Farida of Egypt,0.4276426733,1
Jacques Feyder isMarriedTo Françoise Rosay,0.4199478924,1
Alex Chandon directed Chainsaw Scumfuck,0.4796206057,1
Rita Wilson isMarriedTo Tom Hanks,0.4010510445,1
Iain Softley directed Backbeat  film ,0.4356231987,1
Lotte Reiniger directed The Adventures of Prince Achmed,0.4211626053,1
Elmar Klos directed The Shop on Main Street,0.5507027507,1
Ashton Kutcher isMarriedTo Demi Moore,0.3425098658,1
Donald Knuth isKnownFor MMIX,0.4699082375,1
Tony Bui produced Three Seasons,0.42764258380000003,1
Denis Héroux created Naked Massacre,0.4175682068,1
Alan Rudolph directed Love at Large,0.40638765689999995,1
Arthur Rankin directed  Jr. The Mad  Mad  Mad Comedians,0.4815536439,1
Riazuddin  physicist  livesIn Islamabad,0.4255672097,1
Joseph Bonaparte isMarriedTo Julie Clary,0.42764258380000003,1
Jean-Pierre Bekolo directed Les Saignantes,0.42764258380000003,1
François Dupeyron directed The Officers' Ward  film ,0.34250992539999997,1
Robert Sterling isMarriedTo Anne Jeffreys,0.4849284887,1
Eleanor of Castile isMarriedTo Edward I of England,0.4717358947,1
Rodney Dangerfield created Rover Dangerfield,0.982727468,1
Victor Salva directed Jeepers Creepers 2,0.4333811402,1
Vlad III the Impaler isMarriedTo Ilona Szilágyi,0.44365474579999997,1
Janelle Timmins isMarriedTo Allan Steiger,0.42764258380000003,1
Gus Aitoro isMarriedTo Natalia Rivera Aitoro,0.42764258380000003,1
Germaine of Foix isMarriedTo Ferdinand II of Aragon,0.42764258380000003,1
King Vidor directed Our Daily Bread  1934 film ,0.7327123879999999,1
Joke Silva isMarriedTo Olu Jacobs,0.48772034049999996,1
Edna Manley isMarriedTo Norman Manley,0.4118062258,1
Marshall Brickman created Simon  1980 film ,0.4480448067,1
Trip Hawkins isKnownFor Electronic Arts,0.457752645,1
Tiberius isMarriedTo Julia the Elder,0.5041660666,1
Frederick VIII of Denmark isMarriedTo Louise of Sweden,0.8837143779000001,1
Arlene Alda isMarriedTo Alan Alda,0.4333197474,1
Luis Bayón Herrera produced Jettatore,0.34250992539999997,1
Arthur Rankin created  Jr. The Daydreamer,0.5776337981,1
Ishirō Honda created Destroy All Monsters,0.42764258380000003,1
Norodom Sihanouk created My Village at Sunset,0.4413212836,1
Abel Gance directed Louise  film ,0.4150431454,1
Prince Pedro Henrique of Orléans-Braganza isMarriedTo Princess Maria Elisabeth of Bavaria,0.5555528402000001,1
Victor Salva created Jeepers Creepers 2,0.4203598499,1
Rex Balsom isMarriedTo Jennifer Rappaport,0.42244982719999996,1
Emilio Fernández directed La Choca,0.4592462182,1
Emilio Fernández directed Siempre tuya,0.39575290679999997,1
Fuad I of Egypt isMarriedTo Nazli Sabri,0.9381268620000001,1
Janelle Timmins isMarriedTo Kim Timmins,0.982727468,1
Georg Balthasar Metzger hasAcademicAdvisor Johann Georg Macasius,0.9669585824,1
Jessica Buchanan isMarriedTo Nash Brennan,0.8695389628,1
John McCarthy  computer scientist  created Lisp  programming language ,0.42764264350000003,1
David E. Durston directed I Drink Your Blood,0.3425098658,1
Donald Knuth created MMIX,0.3425098956,1
Jacques Feyder directed Le Grand Jeu  1934 film ,0.42764258380000003,1
Paul Spence created FUBAR  film ,0.4474327564,1
Grand Duke Michael Nikolaevich of Russia isMarriedTo Olga Feodorovna of Baden,0.3843609095,1
Dave McKean directed MirrorMask,0.34250992539999997,1
Cynthia Stone isMarriedTo Cliff Robertson,0.9313514829,1
Joss Whedon created Goners,0.42323285340000005,1
Frederick William IV of Prussia isMarriedTo Elisabeth Ludovika of Bavaria,0.49116918439999996,1
Emilio Fernández directed Rosanna  film ,0.4647269249,1
Ludovico Sforza isMarriedTo Beatrice d'Este,0.6793269515000001,1
Warren Beatty actedIn Bulworth,0.3425098956,1
Craig Ferguson actedIn I'll Be There  film ,0.490793407,1
Zhang Youyi isMarriedTo Xu Zhimo,0.4933775365,1
Ronald Reagan isMarriedTo Jane Wyman,0.42764258380000003,1
Michael Dowse directed Kids in America  2011 film ,0.42764258380000003,1
Connie Booth isMarriedTo John Cleese,0.4815536439,1
James Franklin  printer  isMarriedTo Ann Smith Franklin,0.3425098956,1
John Cleese isMarriedTo Alyce Faye Eichelberger,0.018398404099999998,1
Charlotte of Belgium isMarriedTo Maximilian I of Mexico,0.9670629501000001,1
Rod Steiger isMarriedTo Claire Bloom,0.4223959744,1
